"time","pointMass.r_0[1]","pointMass.r_0[2]","pointMass.r_0[3]"
6.34,0.274452618401124,0.2316114398756655,0.5783309448505457
6.342,0.2744661579128612,0.2315907098546149,0.578332821020755
6.344,0.2744799489206178,0.231569956757077,0.5783345860038953
6.346,0.274493991878868,0.2315491819239544,0.5783362390279447
6.348,0.2745082872290439,0.2315283866771262,0.5783377793344481
6.35,0.2745228353993765,0.2315075723191664,0.5783392061787005
6.352,0.2745376369668204,0.231486740399728,0.5783405186462556
6.354,0.2745526926209004,0.231465892656034,0.5783417156939272
6.356,0.2745680024311934,0.2314450298076849,0.5783427969798713
6.358,0.2745835667858462,0.231424153100741,0.5783437618000251
6.36,0.2745993860598426,0.2314032637619136,0.5783446094640534
6.362,0.274615460614866,0.2313823629983163,0.5783453392955089
6.364,0.2746317907991607,0.2313614519972167,0.5783459506319919
6.366,0.2746483769473952,0.231340531925789,0.5783464428253114
6.368,0.2746652193805236,0.2313196039308647,0.5783468152416451
6.37,0.2746823184056472,0.2312986691386852,0.5783470672616993
6.372,0.2746996743158775,0.2312777286546533,0.5783471982808699
6.374,0.2747172873901987,0.2312567835630855,0.5783472077094036
6.376,0.2747351578933282,0.2312358349269631,0.5783470949725561
6.378,0.274753286075581,0.2312148837876851,0.5783468595107556
6.38,0.2747716721727307,0.2311939311648193,0.5783465007797619
6.382,0.2747903164058711,0.2311729780558544,0.5783460182508265
6.384,0.2748092189812812,0.231152025435953,0.5783454114108556
6.386,0.274828380090284,0.2311310742577017,0.5783446797625682
6.388,0.2748477999091125,0.2311101254508654,0.5783438228246607
6.39,0.2748674790256941,0.231089180637741,0.5783428396431256
6.392,0.2748874176105027,0.231068240743326,0.5783417297406874
6.394,0.274907615526649,0.231047306179847,0.5783404929906993
6.396,0.2749280729083704,0.2310263778163944,0.5783391289547707
6.398,0.274948789875265,0.2310054564999062,0.5783376372099902
6.4,0.274969766532182,0.2309845430549673,0.5783360173490515
6.402,0.274991002969113,0.23096363828361,0.5783342689803846
6.404,0.275012499261084,0.230942742965114,0.5783323917282847
6.406,0.2750342554680458,0.2309218578558065,0.5783303852330408
6.408,0.275056271634765,0.2309009836888616,0.5783282491510642
6.41,0.2750785477907165,0.2308801211741012,0.5783259831550194
6.412,0.2751010839499738,0.2308592709977947,0.5783235869339526
6.414,0.2751238801111011,0.2308384338224594,0.5783210601934214
6.416,0.2751469362570448,0.2308176102866608,0.578318402655625
6.418,0.2751702523550241,0.2307968010048123,0.5783156140595324
6.42,0.275193828356424,0.2307760065669764,0.5783126941610145
6.422,0.2752176641966853,0.230755227538664,0.5783096427329709
6.424,0.2752417597951985,0.2307344644606358,0.5783064595654646
6.426,0.2752661150551934,0.2307137178487022,0.5783031444658476
6.428,0.2752907306404668,0.230692989511991,0.5782996963631359
6.43,0.2753156059828182,0.2306722791710854,0.5782961156056363
6.432,0.2753407408268713,0.2306515870799367,0.5782924021796007
6.434,0.2753661350342628,0.2306309136935077,0.5782885559350339
6.436,0.2753917884513096,0.230610259443156,0.5782845767382927
6.438,0.2754177009089343,0.2305896247364928,0.5782804644721771
6.44,0.2754438722225929,0.2305690099572421,0.5782762190360229
6.442,0.275470302192199,0.2305484154650985,0.5782718403457908
6.444,0.2754969906020527,0.2305278415955875,0.5782673283341615
6.446,0.2755239372207661,0.2305072886599237,0.5782626829506249
6.448,0.2755511418011891,0.2304867569448697,0.5782579041615724
