Part number;Mat;Fdn;d (mm);D (mm);Dd (mm);De (mm);Detol (mm);Dh (mm);Fn (N);Fntol (N);Lk (mm);L0 (mm);L0tol (mm);Ln (mm);sn (mm);S (mm);n (pc.);R (N/mm);Fndyn (N);Fndtol (N);Lndyn (mm);shdyn (mm);Gew (g);PG
D-090P;EN 10270-1;Closed and ground;0.55;2.95;2.1;3.5;0.15;3.9;23.037;1.85; ;13.1;0.39;7.07;6.03;1.321;9.5;3.822;18.729;1.83;8.2;1.31;0.2002;B
D-090Q;EN 10270-1;Closed and ground;0.55;2.95;2.1;3.5;0.15;3.9;21.915;1.73;14.47;20.2;0.6;10.85;9.35;1.268;15.5;2.343;18.039;1.71;12.5;2.24;0.3046;B
D-090R;EN 10270-1;Closed and ground;0.55;2.25;1.4;2.8;0.1;3.1;24.182;3.8; ;4.3;0.15;3.27;1.03;1.071;3.5;23.383;21.279;3.79;3.39;0.28;0.073;B
D-090S;EN 10270-1;Closed and ground;0.55;2.25;1.4;2.8;0.1;3.1;23.757;3.37; ;6.1;0.2;4.5;1.6;1.009;5.5;14.88;20.832;3.33;4.7;0.45;0.0996;B
D-090T;EN 10270-1;Closed and ground;0.55;2.25;1.4;2.8;0.1;3.1;23.444;3.05; ;9.7;0.31;6.98;2.72;0.963;9.5;8.615;20.589;3.01;7.31;0.79;0.1527;B
D-090U;EN 10270-1;Closed and ground;0.55;2.25;1.4;2.8;0.1;3.1;24.333;2.89;10.88;15.3;0.41;10.69;4.61;0.952;15.5;5.28;21.437;2.84;11.24;1.23;0.2323;B
D-090U-05;EN 10270-1;Closed and ground;0.6;10;8.7;10.6;0.35;11.4;3.081;0.85; ;8.5;1.37;3.25;5.25;3.511;2.25;0.587;2.875;0.85;3.6;4.9;0.2984;B
D-090U-10;EN 10270-1;Closed and ground;0.6;10;8.7;10.6;0.35;11.4;2.42;0.72; ;10.8;1.82;4.39;6.42;2.914;3.5;0.377;2.211;0.72;4.94;5.86;0.3862;B
D-090U-11;EN 10270-1;Closed and ground;0.6;10;8.7;10.6;0.35;11.4;2.591;0.64; ;17;2.51;6.21;10.8;2.982;5.5;0.24;2.384;0.64;7.07;9.93;0.5266;C
D-090U-12;EN 10270-1;Closed and ground;0.6;10;8.7;10.6;0.35;11.4;2.697;0.59; ;26.3;3.54;8.94;17.37;3.024;8.5;0.155;2.491;0.59;10.26;16.04;0.7372;C
D-090U-13;EN 10270-1;Closed and ground;0.6;10;8.7;10.6;0.35;11.4;2.717;0.56; ;38.3;4.9;12.58;25.73;3.016;12.5;0.106;2.512;0.55;14.52;23.78;1.0181;D
D-090U-14;EN 10270-1;Closed and ground;0.6;10;8.7;10.6;0.35;11.4;3.211;0.55;19.11;53;5.91;15.31;37.7;3.381;15.5;0.085;3.005;0.55;17.72;35.28;1.2287;D
D-090U-20;EN 10270-1;Closed and ground;0.6;6.4;5.2;7;0.3;7.7;4.075;0.86; ;6.7;0.55;3.87;2.83;1.743;3.5;1.439;3.655;0.85;4.16;2.54;0.2472;C
D-090U-21;EN 10270-1;Closed and ground;0.6;6.4;5.2;7;0.3;7.7;4.676;0.77; ;10.5;0.76;5.39;5.11;1.8;5.5;0.916;4.267;0.76;5.84;4.66;0.337;C
D-090U-22;EN 10270-1;Closed and ground;0.6;6.4;5.2;7;0.3;7.7;5.048;0.71; ;16.2;1.07;7.68;8.52;1.835;8.5;0.593;4.64;0.71;8.37;7.83;0.4718;C
D-090U-23;EN 10270-1;Closed and ground;0.6;6.4;5.2;7;0.3;7.7;5.347;0.68; ;24;1.49;10.73;13.27;1.872;12.5;0.403;4.936;0.67;11.75;12.25;0.6516;C
D-090U-24;EN 10270-1;Closed and ground;0.6;6.4;5.2;7;0.3;7.7;5.498;0.66;16.89;35.5;2.11;15.3;20.2;1.886;18.5;0.272;5.088;0.67;16.81;18.69;0.9212;C
D-090V;EN 10270-1;Closed and ground;0.6;5.1;4.1;5.7;0.25;6.2;18.535;0.97;57.15;62;1.63;18.24;43.76;2.613;23.5;0.424;15.502;0.96;25.4;9.63;0.9131;C
D-090W;EN 10270-1;Closed and ground;0.6;5;4;5.6;0.25;6.1;16.028;1.06; ;18;0.59;6.62;11.38;2.32;7.5;1.408;15.379;1.05;7.08;3.04;0.3335;B
D-090W-01;EN 10270-1;Closed and ground;0.63;10.97;9.7;11.6;0.4;12.6;7.402;0.84; ;26;2.11;4.69;21.31;7.249;3.5;0.347;7.19;0.84;5.3;7.74;0.4671;C
D-090W-02;EN 10270-1;Closed and ground;0.63;10.97;9.7;11.6;0.4;12.6;7.372;0.75; ;40;2.91;6.65;33.35;7.158;5.5;0.221;7.159;0.75;7.61;13.77;0.6369;C
D-090W-03;EN 10270-1;Closed and ground;0.63;10.97;9.7;11.6;0.4;12.6;7.496;0.79;31.61;62;4.1;9.59;52.41;7.22;8.5;0.143;7.282;0.7;11.08;20.98;0.8917;C
D-090W-04;EN 10270-1;Closed and ground;0.63;10.97;9.7;11.6;0.4;12.6;8.217;0.68;83.1;98;5.68;13.5;84.5;7.79;12.5;0.097;8.004;0.67;15.7;28.35;1.2313;D
D-090W-06;EN 10270-1;Closed and ground;0.63;10.97;9.7;11.6;0.4;12.6;6.235;0.95; ;15;1.59;3.46;11.54;6.387;2.25;0.54;6.019;0.9;3.86;6.37;0.3609;C
D-090W-07;EN 10270-1;Closed and ground;0.63;10.97;9.7;11.6;0.4;12.6;7.537;0.91; ;21;1.8;3.95;17.05;7.407;2.75;0.442;7.325;0.72;4.43;6.76;0.4034;C
D-090W-10;EN 10270-1;Closed and ground;0.63;9.87;8.7;10.5;0.35;11.6;8.65;1.02; ;15;1.2;3.34;11.66;6.387;2.25;0.742;8.405;1;3.67;4.28;0.3247;C
D-090W-11;EN 10270-1;Closed and ground;0.63;9.87;8.7;10.5;0.35;11.6;9.832;0.97; ;20;1.36;3.8;16.2;7.044;2.75;0.607;9.584;0.9;4.21;4.45;0.3629;C
D-090X;EN 10270-1;Closed and ground;0.63;9.87;8.7;10.5;0.35;11.6;11.256;0.93; ;28.1;1.59;4.5;23.6;7.849;3.5;0.477;10.062;0.93;7;5.45;0.4202;C
D-090Y;EN 10270-1;Closed and ground;0.63;9.87;8.7;10.5;0.35;11.6;11.093;0.83; ;42.9;2.2;6.35;36.55;7.685;5.5;0.303;10.045;0.83;9.8;8.61;0.573;C
D-090Z;EN 10270-1;Closed and ground;0.63;9.87;8.7;10.5;0.35;11.6;10.955;0.76;55.06;72.4;3.4;10.05;62.35;7.555;9.5;0.176;10.085;0.76;15;14.72;0.8787;D
D-091;EN 10270-1;Closed and ground;0.63;8;6.9;8.63;0.3;9.4;10.551;0.96; ;16;0.89;4.22;11.78;4.391;3.5;0.896;10.209;0.95;4.6;4.25;0.3406;B
D-091B;EN 10270-1;Closed and ground;0.63;8;6.9;8.63;0.3;9.4;10.225;1.09; ;10.5;0.68;3.16;7.34;4.387;2.25;1.393;9.891;1;3.4;2.87;0.2632;B
D-091C;EN 10270-1;Closed and ground;0.63;8;6.9;8.63;0.3;9.4;11.307;1.04; ;13.5;0.76;3.58;9.92;4.68;2.75;1.14;10.965;1;3.88;3.13;0.2942;B
D-092;EN 10270-1;Closed and ground;0.63;8;6.9;8.63;0.3;9.4;10.595;0.86; ;24.5;1.23;5.91;18.59;4.34;5.5;0.57;10.258;0.86;6.5;6.4;0.4645;B
D-093;EN 10270-1;Closed and ground;0.63;8;6.9;8.63;0.3;9.4;10.53;0.8; ;37;1.74;8.45;28.55;4.279;8.5;0.369;10.189;0.79;9.37;10.41;0.6503;B
D-093A;EN 10270-1;Closed and ground;0.63;8;6.9;8.63;0.3;9.4;6.312;0.7; ;37;2.41;11.83;25.17;2.91;12.5;0.251;5.973;0.69;13.18;21.16;0.898;C
D-094;EN 10270-1;Closed and ground;0.63;8;6.9;8.63;0.3;9.4;10.826;0.77;39.56;55;2.41;11.83;43.17;4.35;12.5;0.251;10.487;0.76;13.18;14.89;0.898;B
D-094A;EN 10270-1;Closed and ground;0.63;8;6.9;8.63;0.3;9.4;6.455;0.67;39.56;55;3.41;16.9;38.1;2.939;18.5;0.169;6.118;0.67;18.89;31.06;1.2695;C
D-095;EN 10270-1;Closed and ground;0.63;8;6.9;8.63;0.3;9.4;10.776;0.74;71.07;80.5;3.41;16.9;63.6;4.317;18.5;0.169;10.439;0.73;18.89;22.21;1.2695;B
D-095A;EN 10270-1;Closed and ground;0.63;8;6.9;8.63;0.3;9.4;8.389;0.69;71.07;80.5;4.07;20.28;60.22;3.55;22.5;0.139;8.049;0.69;22.72;32.96;1.5173;C
D-095A-10;EN 10270-1;Closed and ground;0.63;7.27;6.2;7.9;0.3;8.6;8.168;1.1; ;7.5;0.52;3.1;4.4;3.053;2.25;1.856;7.778;1;3.31;2.88;0.2392;B
D-095A-11;EN 10270-1;Closed and ground;0.63;7.27;6.2;7.9;0.3;8.6;10.616;1.06; ;10.5;0.59;3.51;6.99;3.589;2.75;1.519;10.221;1;3.77;2.96;0.2673;B
D-095B;EN 10270-1;Closed and ground;0.63;7.27;6.2;7.9;0.3;8.6;10.59;0.99; ;13;0.7;4.13;8.87;3.534;3.5;1.193;10.191;0.98;4.46;3.77;0.3095;B
D-095C;EN 10270-1;Closed and ground;0.63;7.27;6.2;7.9;0.3;8.6;10.811;0.89; ;20;0.96;5.76;14.24;3.522;5.5;0.759;10.411;0.88;6.29;5.83;0.4221;B
D-095D;EN 10270-1;Closed and ground;0.63;7.27;6.2;7.9;0.3;8.6;11.193;0.83; ;31;1.35;8.22;22.78;3.573;8.5;0.491;10.79;0.83;9.04;8.74;0.5909;B
D-095E;EN 10270-1;Closed and ground;0.63;7.27;6.2;7.9;0.3;8.6;12.531;0.81;34.53;49;1.87;11.5;37.5;3.87;12.5;0.334;12.136;0.81;12.68;11.45;0.816;C
D-096;EN 10270-1;Closed and ground;0.63;6.3;5.2;6.93;0.25;7.5;13.723;1.11; ;11.5;0.49;4.02;7.48;3.106;3.5;1.834;13.203;1.1;4.3;2.47;0.2682;B
D-097;EN 10270-1;Closed and ground;0.63;6.3;5.2;6.93;0.25;7.5;13.313;0.99; ;17;0.68;5.59;11.41;2.976;5.5;1.167;12.79;0.99;6.04;4.01;0.3658;B
D-098;EN 10270-1;Closed and ground;0.63;6.3;5.2;6.93;0.25;7.5;13.249;0.92; ;25.5;0.96;7.95;17.55;2.926;8.5;0.755;12.738;0.91;8.63;6.22;0.5121;B
D-099;EN 10270-1;Closed and ground;0.63;6.3;5.2;6.93;0.25;7.5;13.04;0.88;20.02;36.5;1.33;11.1;25.4;2.87;12.5;0.513;12.528;0.87;12.1;9.29;0.7071;B
D-099A;EN 10270-1;Closed and ground;0.63;6.3;5.2;6.93;0.25;7.5;7.171;0.76;20.02;36.5;1.88;15.83;20.67;1.939;18.5;0.347;6.664;0.75;17.29;19.21;0.9998;C
D-100;EN 10270-1;Closed and ground;0.63;6.3;5.2;6.93;0.25;7.5;13.243;0.85;44.99;54;1.88;15.83;38.17;2.885;18.5;0.347;12.736;0.84;17.29;13.53;0.9998;B
D-100A;EN 10270-1;Closed and ground;0.63;6.3;5.2;6.93;0.25;7.5;9.99;0.79;44.99;54;2.24;18.98;35.02;2.372;22.5;0.285;9.485;0.78;20.75;20.44;1.1948;C
D-100A-01;EN 10270-1;Closed and ground;0.63;5.77;4.7;6.4;0.25;7;18.802;1.04;17.46;33;0.95;9.37;23.63;3.083;10.5;0.796;15.992;1.03;12.9;5.38;0.5583;B
D-100A-02;EN 10270-1;Closed and ground;0.63;5.77;4.7;6.4;0.25;7;18.14;1;30.39;41;1.18;11.69;29.31;2.99;13.5;0.619;16.151;0.99;14.9;6.83;0.6923;C
D-100A-03;EN 10270-1;Closed and ground;0.63;5.77;4.7;6.4;0.25;7;20.357;1.02;43.06;51;1.33;13.23;37.77;3.25;15.5;0.539;16.169;1.01;21;7.83;0.7817;C
D-100A-04;EN 10270-1;Closed and ground;0.63;5.77;4.7;6.4;0.25;7;16.472;0.94;56.81;63;1.87;18.64;44.36;2.772;22.5;0.371;15.877;0.93;20.24;11.66;1.0943;D
D-100A-06;EN 10270-1;Closed and ground;0.63;5.77;4.7;6.4;0.25;7;13.478;1.11; ;12;0.49;4.74;7.26;2.527;4.5;1.856;12.884;1;5.06;2.89;0.2903;B
D-100A-07;EN 10270-1;Closed and ground;0.63;5.77;4.7;6.4;0.25;7;15.063;1.05; ;18;0.64;6.28;11.72;2.672;6.5;1.285;14.472;1;6.74;3.75;0.3797;B
D-100A-08;EN 10270-1;Closed and ground;0.63;5.77;4.7;6.4;0.25;7;16.885;1.04; ;25;0.8;7.82;17.18;2.867;8.5;0.983;16.286;1;8.43;4.25;0.469;B
D-100B;EN 10270-1;Closed and ground;0.63;5.4;4.3;6.03;0.25;6.5;5.946;0.83;37;45;2.32;26.04;18.96;1.365;32.5;0.314;5.271;0.81;28.19;16.81;1.4422;C
D-101;EN 10270-1;Closed and ground;0.63;5;4;5.63;0.2;6.1;16.896;1.42; ;8.5;0.32;3.89;4.61;2.249;3.5;3.668;16.103;1.41;4.11;1.49;0.2129;B
D-102;EN 10270-1;Closed and ground;0.63;5;4;5.63;0.2;6.1;16.576;1.27; ;12.5;0.44;5.4;7.1;2.158;5.5;2.334;15.803;1.26;5.73;2.38;0.2903;B
D-103;EN 10270-1;Closed and ground;0.63;5;4;5.63;0.2;6.1;16.378;1.18; ;18.5;0.62;7.66;10.84;2.102;8.5;1.51;15.603;1.17;8.17;3.73;0.4064;B
D-104;EN 10270-1;Closed and ground;0.63;5;4;5.63;0.2;6.1;15.749;1.12;7.24;26;0.86;10.67;15.33;2.03;12.5;1.027;14.954;1.1;11.44;5.7;0.5612;B
D-104A;EN 10270-1;Closed and ground;0.63;5;4;5.63;0.2;6.1;7.508;0.95;7.24;26;1.21;15.18;10.82;1.371;18.5;0.694;6.711;0.94;16.33;9.67;0.7935;C
D-105;EN 10270-1;Closed and ground;0.63;5;4;5.63;0.2;6.1;16.182;1.08;30.28;38.5;1.21;15.18;23.32;2.047;18.5;0.694;15.386;1.07;16.33;8.31;0.7935;B
D-105A;EN 10270-1;Closed and ground;0.63;5;4;5.63;0.2;6.1;11.588;1;30.28;38.5;1.45;18.19;20.31;1.683;22.5;0.571;10.802;0.99;19.57;12.9;0.9483;C
D-106;EN 10270-1;Closed and ground;0.63;4;3;4.63;0.15;5;20.642;2.02; ;6.7;0.24;3.82;2.88;1.734;3.5;7.164;19.344;2;4;0.91;0.1703;B
D-107;EN 10270-1;Closed and ground;0.63;4;3;4.63;0.15;5;19.691;1.8; ;9.6;0.33;5.28;4.32;1.631;5.5;4.559;18.374;1.78;5.57;1.51;0.2322;B
D-108;EN 10270-1;Closed and ground;0.63;4;3;4.63;0.15;5;19.251;1.66; ;14;0.46;7.47;6.53;1.573;8.5;2.95;17.995;1.64;7.9;2.37;0.3251;B
D-109;EN 10270-1;Closed and ground;0.63;4;3;4.63;0.15;5;19.261;1.58; ;20;0.64;10.4;9.6;1.55;12.5;2.006;17.994;1.56;11.03;3.49;0.449;B
D-109A;EN 10270-1;Closed and ground;0.63;4;3;4.63;0.15;5;7.068;1.34; ;20;0.91;14.79;5.21;1.047;18.5;1.355;5.788;1.32;15.73;4.27;0.6348;C
D-110;EN 10270-1;Closed and ground;0.63;4;3;4.63;0.15;5;19.267;1.52;21.86;29;0.91;14.79;14.21;1.534;18.5;1.355;17.987;1.5;15.73;5.17;0.6348;B
D-110A;EN 10270-1;Closed and ground;0.63;4;3;4.63;0.15;5;12.583;1.4;21.86;29;1.09;17.71;11.29;1.261;22.5;1.114;11.323;1.38;18.84;8.35;0.7586;C
D-110B;EN 10270-1;Closed and ground;0.63;3.37;2.4;4;0.15;4.4;20.605;2.73; ;5.5;0.2;3.78;1.72;1.391;3.5;11.98;18.57;2.7;3.95;0.72;0.1435;B
D-110C;EN 10270-1;Closed and ground;0.63;3.37;2.4;4;0.15;4.4;21.193;2.45; ;8;0.28;5.22;2.78;1.34;5.5;7.624;19.212;2.42;5.48;1.11;0.1957;B
D-110D;EN 10270-1;Closed and ground;0.63;3.37;2.4;4;0.15;4.4;22.789;2.28; ;12;0.39;7.38;4.62;1.338;8.5;4.933;20.867;2.25;7.77;1.6;0.2739;B
D-110E;EN 10270-1;Closed and ground;0.63;3.37;2.4;4;0.15;4.4;21.803;2.13;6.98;18;0.58;10.98;7.02;1.287;13.5;3.106;19.91;2.11;11.59;2.65;0.4044;B
D-111;EN 10270-1;Closed and ground;0.63;3.2;2.3;3.83;0.15;4.2;24.196;3.07; ;5.5;0.19;3.77;1.73;1.391;3.5;13.993;21.829;3.03;3.94;0.58;0.1362;B
D-112;EN 10270-1;Closed and ground;0.63;3.2;2.3;3.83;0.15;4.2;23.102;2.72; ;7.8;0.27;5.21;2.59;1.304;5.5;8.905;20.926;2.69;5.45;0.95;0.1858;B
D-113;EN 10270-1;Closed and ground;0.63;3.2;2.3;3.83;0.15;4.2;20.986;2.48; ;11;0.38;7.36;3.64;1.22;8.5;5.762;18.841;2.45;7.73;1.59;0.2601;B
D-114;EN 10270-1;Closed and ground;0.63;3.2;2.3;3.83;0.15;4.2;20.659;2.35; ;15.5;0.52;10.23;5.27;1.19;12.5;3.918;18.493;2.32;10.78;2.37;0.3592;B
D-115;EN 10270-1;Closed and ground;0.63;3.2;2.3;3.83;0.15;4.2;21.095;2.27;16.53;22.5;0.74;14.53;7.97;1.182;18.5;2.647;18.928;2.23;15.35;3.46;0.5078;B
D-115A;EN 10270-1;Closed and ground;0.63;2.37;1.4;3;0.1;3.3;33.331;4.96; ;4.7;0.15;3.73;0.97;1.163;3.5;34.444;28.244;4.23;3.88;0.28;0.1009;B
D-115B;EN 10270-1;Closed and ground;0.63;2.37;1.4;3;0.1;3.3;31.891;4.77; ;6.6;0.24;5.15;1.45;1.085;5.5;21.919;27.18;4.07;5.36;0.45;0.1376;B
D-115C;EN 10270-1;Closed and ground;0.63;2.37;1.4;3;0.1;3.3;33.368;4.98; ;10.6;0.35;7.97;2.63;1.049;9.5;12.69;28.806;4.28;8.33;0.74;0.211;B
D-115D;EN 10270-1;Closed and ground;0.63;2.37;1.4;3;0.1;3.3;33.376;5;12.01;16.5;0.5;12.21;4.29;1.024;15.5;7.778;28.778;4.31;12.8;1.2;0.3211;B
D-115D-01;EN 10270-1;Closed and ground;0.7;11.3;10;12;0.4;13.3;10.736;1.22; ;18;1.41;3.75;14.25;7.689;2.25;0.753;10.45;1.26;4.13;4.9;0.459;C
D-115D-02;EN 10270-1;Closed and ground;0.7;11.3;10;12;0.4;13.3;12.779;1.17; ;25;1.59;4.27;20.73;8.836;2.75;0.616;12.489;1.2;4.74;4.84;0.513;C
D-115E;EN 10270-1;Closed and ground;0.7;11.3;10;12;0.4;13.3;13.391;1.1; ;32.7;1.86;5.05;27.65;9.143;3.5;0.484;12.012;1.1;7.9;6.51;0.594;C
D-115F;EN 10270-1;Closed and ground;0.7;11.3;10;12;0.4;13.3;13.21;0.99; ;50;2.57;7.14;42.86;8.964;5.5;0.308;12.051;0.99;10.9;10.18;0.8099;C
D-115G;EN 10270-1;Closed and ground;0.7;11.3;10;12;0.4;13.3;13.077;0.9;65.31;84.6;3.97;11.31;73.29;8.832;9.5;0.178;12.081;0.9;16.9;17.57;1.2419;D
D-115H;EN 10270-1;Closed and ground;0.7;11.3;10;12;0.4;13.3;12.952;0.86;125.1;136;6.05;17.58;118.42;8.729;15.5;0.109;12.151;0.85;24.9;28.48;1.8899;E
D-115H-01;EN 10270-1;Closed and ground;0.7;7.3;6.1;8;0.3;8.7;17.816;1.11; ;33;1.13;8.92;24.08;3.8;8.5;0.74;17.228;1.1;9.71;6.58;0.7325;C
D-115H-02;EN 10270-1;Closed and ground;0.7;7.3;6.1;8;0.3;8.7;16.092;1.04;20.45;41;1.46;11.57;29.43;3.504;11.5;0.547;15.511;1.03;12.63;9.99;0.9418;C
D-115H-03;EN 10270-1;Closed and ground;0.7;7.3;6.1;8;0.3;8.7;17.881;1.06;32.89;48;1.57;12.45;35.55;3.784;12.5;0.503;17.304;1.05;13.6;9.62;1.0116;C
D-115H-04;EN 10270-1;Closed and ground;0.7;7.3;6.1;8;0.3;8.7;17.915;1.03;52.65;63;2.01;15.99;47.01;3.776;16.5;0.381;17.335;1.02;17.51;12.68;1.2907;D
D-115H-10;EN 10270-1;Closed and ground;0.7;7.1;5.9;7.8;0.3;8.4;10.401;1.06; ;17;0.86;7.11;9.89;2.508;6.5;1.051;9.789;1.05;7.69;7.35;0.5768;C
D-115H-11;EN 10270-1;Closed and ground;0.7;7.1;5.9;7.8;0.3;8.4;10.761;1; ;24.7;1.17;9.74;14.96;2.526;9.5;0.719;10.151;0.99;10.59;10.56;0.7803;C
D-115H-12;EN 10270-1;Closed and ground;0.7;7.1;5.9;7.8;0.3;8.4;11.003;0.97; ;32.5;1.47;12.38;20.12;2.544;12.5;0.547;10.388;0.96;13.5;13.47;0.9839;C
D-115J;EN 10270-1;Closed and ground;0.7;6.8;5.6;7.5;0.3;8.2;22.8;1.45; ;14.7;0.5;4.44;10.26;4;3.5;2.223;19.003;1.44;6.15;2.22;0.3574;C
D-115K;EN 10270-1;Closed and ground;0.7;6.8;5.6;7.5;0.3;8.2;22.093;1.3; ;21.8;0.69;6.18;15.62;3.836;5.5;1.414;19.094;1.29;8.3;3.47;0.4874;C
D-115L;EN 10270-1;Closed and ground;0.7;6.8;5.6;7.5;0.3;8.2;21.408;1.19;12.02;35.8;1.06;9.66;26.14;3.695;9.5;0.819;18.834;1.18;12.8;6.11;0.7473;C
D-115M;EN 10270-1;Closed and ground;0.7;6.8;5.6;7.5;0.3;8.2;21.043;1.13;46.76;56.8;1.62;14.87;41.93;3.619;15.5;0.502;18.971;1.12;19;9.87;1.1373;D
D-116;EN 10270-1;Closed and ground;0.7;6;4.9;6.7;0.25;7.3;22.114;1.29;19.54;35;1.01;11.57;23.43;2.858;12;0.944;21.28;1.28;12.45;5.79;0.8028;B
D-117;EN 10270-1;Closed and ground;0.7;5;3.9;5.7;0.2;6.2;12.38;1.33;41.77;48;1.87;27.75;20.25;1.478;32;0.612;11.172;1.31;29.73;18.13;1.6247;D
D-117A;EN 10270-1;Closed and ground;0.7;4.3;3.2;5;0.2;5.5;37.501;2.75; ;8.5;0.25;4.23;4.27;2.229;3.5;8.79;27.688;2.72;5.35;0.83;0.226;C
D-117B;EN 10270-1;Closed and ground;0.7;4.3;3.2;5;0.2;5.5;34.944;2.44; ;12.1;0.34;5.85;6.25;2.073;5.5;5.594;27.409;2.42;7.2;1.32;0.3082;C
D-117C;EN 10270-1;Closed and ground;0.7;4.3;3.2;5;0.2;5.5;32.088;2.19; ;19;0.53;9.09;9.91;1.926;9.5;3.238;27.85;2.17;10.4;2.23;0.4726;C
D-117D;EN 10270-1;Closed and ground;0.7;4.3;3.2;5;0.2;5.5;30.866;2.06;21.17;29.5;0.81;13.95;15.55;1.858;15.5;1.985;27.192;2.04;15.8;3.75;0.7192;C
D-117E;EN 10270-1;Closed and ground;0.7;2.8;1.7;3.5;0.2;3.9;36.49;5.99; ;5.3;0.17;4.15;1.15;1.314;3.5;31.836;31.836;5.92;4.3;0.38;0.1472;C
D-117F;EN 10270-1;Closed and ground;0.7;2.8;1.7;3.5;0.2;3.9;37.937;5.34; ;7.6;0.24;5.73;1.87;1.255;5.5;20.259;33.023;5.27;5.97;0.57;0.2007;C
D-117G;EN 10270-1;Closed and ground;0.7;2.8;1.7;3.5;0.2;3.9;39.004;4.85; ;12.2;0.36;8.87;3.33;1.211;9.5;11.729;34.249;4.78;9.28;0.95;0.3077;C
D-117H;EN 10270-1;Closed and ground;0.7;2.8;1.7;3.5;0.2;3.9;38.852;4.57;13.49;19;0.56;13.6;5.4;1.181;15.5;7.189;33.931;4.5;14.28;1.57;0.4683;C
D-117H-10;EN 10270-1;Closed and ground;0.75;11.25;9.8;12;0.4;13.3;16.123;1.3; ;22;1.29;4.2;17.8;8.5;2.5;0.906;14.761;1.4;5.7;4.26;0.5554;D
D-117H-20;EN 10270-1;Closed and ground;0.75;9.25;7.9;10;0.3;10.8;11.895;1.14; ;25;2.38;7.48;17.52;4.042;6;0.679;11.39;1.11;8.22;9.99;0.8118;D
D-117H-21;EN 10270-1;Closed and ground;0.75;9.25;7.9;10;0.3;10.8;19.022;1.29; ;27;1.11;5.98;21.02;5.833;4.5;0.905;17.649;1.29;7.5;5.09;0.6596;D
D-117H-22;EN 10270-1;Closed and ground;0.75;9.25;7.9;10;0.3;10.8;18.703;1.05;17.59;49;1.82;9.97;39.03;5.676;8.5;0.479;17.345;1.14;12.8;9.83;1.0655;D
D-117H-30;EN 10270-1;Closed and ground;0.75;7.25;5.9;8;0.4;8.8;23.66;1.5; ;22;0.71;6.62;15.38;3.864;5.5;1.538;21.762;1.44;7.85;3.74;0.5965;D
D-117H-40;EN 10270-1;Closed and ground;0.75;6.25;4.9;7;0.25;7.8;30.744;2.08; ;14;0.39;5.85;8.15;3.786;3.5;3.772;24.52;1.76;7.5;1.75;0.3771;D
D-117H-41;EN 10270-1;Closed and ground;0.75;6.25;4.9;7;0.25;7.8;30.833;1.68; ;31;0.76;11.15;19.85;3.559;8.5;1.553;25.008;1.61;14.9;4.14;0.72;D
D-117H-50;EN 10270-1;Closed and ground;0.75;5.25;4;6;0.2;6.6;35.072;2.28; ;15;0.42;6.34;8.66;2.591;5.5;4.05;28.756;2.19;7.9;1.85;0.432;D
D-117H-51;EN 10270-1;Closed and ground;0.75;5.25;4;6;0.2;6.6;34.493;2.03; ;27;0.7;10.74;16.26;2.5;10.5;2.122;28.64;1.98;13.5;3.54;0.72;D
D-117H-60;EN 10270-1;Closed and ground;0.75;4.6;3.3;5.35;0.2;5.9;32.543;2.45; ;20;0.58;10.17;9.83;1.925;10;3.312;30.599;2.39;10.76;2.65;0.6056;D
D-117H-70;EN 10270-1;Closed and ground;0.75;3.25;2.1;4;0.15;4.4;41.836;4.58;5.29;17;0.55;11.65;5.35;1.354;12;7.825;37.325;4.45;12.23;1.55;0.4992;D
D-117J;EN 10270-1;Closed and ground;0.8;13.2;11.8;14;0.4;15.4;16.835;1.38; ;38.3;2.17;5.82;32.48;10.714;3.5;0.518;15.447;1.37;8.5;10.94;0.9062;C
D-117K;EN 10270-1;Closed and ground;0.8;13.2;11.8;14;0.4;15.4;16.58;1.24; ;58.5;2.99;8.24;50.26;10.491;5.5;0.33;15.504;1.23;11.5;17.12;1.2358;C
D-117L;EN 10270-1;Closed and ground;0.8;13.2;11.8;14;0.4;15.4;16.431;1.13;76.65;99.1;4.62;13.06;86.04;10.347;9.5;0.191;15.355;1.12;18.7;29.85;1.8948;D
D-117M;EN 10270-1;Closed and ground;0.8;13.2;11.8;14;0.4;15.4;16.422;1.04;148;160.6;7.04;20.3;140.3;10.31;15.5;0.117;15.544;1.07;27.8;48.15;2.8834;E
D-117M-05;EN 10270-1;Closed and ground;0.8;11.2;9.8;12;0.35;12.9;9.095;1.51; ;11;1.04;4.11;6.89;4.533;2.25;1.32;8.633;1.6;4.46;6.4;0.5942;C
D-117M-06;EN 10270-1;Closed and ground;0.8;11.2;9.8;12;0.35;12.9;12.237;1.46; ;16;1.18;4.67;11.33;5.527;2.75;1.08;11.772;1.5;5.1;8.1;0.6641;C
D-117N;EN 10270-1;Closed and ground;0.8;11.2;9.8;12;0.35;12.9;14.848;1.4; ;23;1.38;5.5;17.5;6.343;3.5;0.849;14.384;1.39;6.05;9.24;0.7689;C
D-117O;EN 10270-1;Closed and ground;0.8;11.2;9.8;12;0.35;12.9;15.264;1.26; ;36;1.91;7.73;28.27;6.4;5.5;0.54;14.797;1.25;8.6;14.26;1.0485;C
